三時,TAM THỜI,ba giờ,
摂氏,NHIẾP THỊ,bách phân,
華氏,HOA THỊ,nhiệt kế,
氏神,THỊ THẦN,thần bảo trợ,
羽,VŨ,lông chim,
羽根,VŨ CĂN,cánh,
一羽,NHẤT VŨ,một con chim,
千羽,THIÊN VŨ,senba,
羽毛,VŨ MAO,lông chim,
漢字,HÁN TỰ,nhân vật trung quốc,
漢和辞典,HÁN HÒA TỪ ĐIỂN,kanji,
漢方薬,HÁN PHƯƠNG DƯỢC,thuốc thảo dược trung quốc,
漢文,HÁN VĂN,điển trung quốc,
字,TỰ,nhân vật,
漢字,HÁN TỰ,nhân vật trung quốc,
文字,VĂN TỰ,nhân vật,
名字,DANH TỰ,họ,
数字,"SỔ,SỐ TỰ",số,
習字,TẬP TỰ,viết văn,
活字,HOẠT TỰ,kiểu,
ローマ字,TỰ,bảng chữ cái la mã,
入学式,NHẬP HỌC THỨC,lễ nhập học,
結婚式,KẾT HÔN THỨC,kết hôn,
式,THỨC,công thức,
正式な,CHÁNH THỨC,chính thức,
洋式,DƯƠNG THỨC,phong cách phương tây,
和式,HÒA THỨC,kiểu nhật,
試験,THÍ NGHIỆM,thử,
経験,KINH NGHIỆM,kinh nghiệm,
実験,THỰC NGHIỆM,thí nghiệm,
受験,THỤ NGHIỆM,kỳ thi tuyển sinh,
体験,THỂ NGHIỆM,kinh nghiệm,
宿題,TÚC ĐỀ,việc nhà,
問題,VẤN ĐỀ,vấn đề,
題,ĐỀ,tiêu đề,
題名,ĐỀ DANH,tiêu đề,
話題,THOẠI ĐỀ,chủ đề,
議題,NGHỊ ĐỀ,chương trình nghị sự,
課題,KHÓA ĐỀ,thách,
主題,CHỦ ĐỀ,vấn đề,
英語,ANH NGỮ,anh,
英雄,ANH HÙNG,anh hùng,
英国,ANH QUỐC,nước anh,
英会話,ANH HỘI THOẠI,đàm thoại tiếng anh,
英和辞典,ANH HÒA TỪ ĐIỂN,từ điển anh-nhật bản,
和英辞典,HÒA ANH TỪ ĐIỂN,nhật-anh từ điển,
問題,VẤN ĐỀ,vấn đề,
質問,CHẤT VẤN,câu hỏi,
問い,VẤN,câu hỏi,
問い合わせ,VẤN HỢP,tin nhắn của bạn,
訪問,PHÓNG VẤN,tiếng kêu,
疑問,NGHI VẤN,câu hỏi,
学問,HỌC VẤN,học vấn,
問屋,VẤN ỐC,bán buôn,
近い,CẬN,gần,
近く,CẬN,gần,
近所,CẬN SỞ,vùng lân cận,
最近,TỐI CẬN,mới đây,
近頃,CẬN ,mới đây,
近代的な,CẬN ĐẠI ,tánh tích mới,
禁止,CẤM CHỈ,cấm chỉ,
中近東,TRUNG CẬN ĐÔNG,trung và cận đông,
暑い,THỬ,nóng,
蒸し暑い,CHƯNG THỬ,ẩm ướt,
暑中見舞い,THỬ TRUNG KIẾN VŨ,thư hỏi thăm mùa hè,
残暑,TÀN THỬ,cuối hè ,
避暑地,TỊ THỬ ĐỊA,thăm hỏi cuối hè,
寒い,HÀN,lạnh,
寒気,HÀN KHÍ,ớn lạnh,
寒気,HÀN KHÍ,ớn lạnh,
寒帯,HÀN ĐỚI,vùng băng giá,
寒風,HÀN PHONG,gió lạnh,
低い,ĐÊ,thấp,
最低,TỐI ĐÊ,thấp nhất,
低下,ĐÊ HẠ,hạ thấp,
低音,ĐÊ ÂM,giọng trầm,
低気圧,ĐÊ KHÍ ÁP,áp lực thấp,
肯定,KHẲNG ĐỊNH,tích cực,
弱い,NHƯỢC,yếu,
弱点,NHƯỢC ĐIỂM,yếu đuối,
弱る,NHƯỢC,suy yếu,
病弱,BỆNH NHƯỢC,sức khỏe kém,
弱肉強食,NHƯỢC NHỤC CƯỜNG THỰC,luật rừng,
弱気,NHƯỢC KHÍ,gấu,
暗い,ÁM,tối,
真っ暗,CHÂN ÁM,màu đen,
暗記する,ÁM KÍ,học thuộc lòng,
暗殺,ÁM SÁT,sự ám sát,
暗証番号,ÁM CHỨNG PHIÊN HÀO,số nhận dạng cá nhân,
豆,ĐẬU,đậu,
豆腐,ĐẬU HỦ,tàu hũ,
コーヒー豆,ĐẬU,cà phê hạt,
枝豆,CHI ĐẬU,đậu nành xanh,
大豆,ĐẠI ĐẬU,đậu tương,
豆乳,ĐẬU NHŨ,sữa đậu nành,
納豆,NẠP ĐẬU,natto,
光,QUANG,ánh sáng,
光る,QUANG,sáng,
観光,QUAN QUANG,du lịch,
日光,NHẬT QUANG,ánh sáng mặt trời,
光線,QUANG TUYẾN,tia,
光景,QUANG CẢNH,cảnh tượng,
光熱費,QUANG NHIỆT PHÍ,chi phí tiện ích,
止まる,CHỈ,dừng lại,
止める,CHỈ,dừng lại,
中止,TRUNG CHỈ,"gián đoạn, ngưng",
止まれ,CHỈ,dừng lại,
禁止する,CẤM CHỈ,cấm chỉ,
停止する,ĐÌNH CHỈ,dừng lại,
廃止する,PHẾ CHỈ,bỏ,
防止する,PHÒNG CHỈ,để ngăn chặn,
歩く,BỘ,đi bộ,
散歩する,TÁN BỘ,đi bộ,
一歩,NHẤT BỘ,bước đi,
進歩,TIẾN BỘ,tiến bộ,
歩道,BỘ ĐẠO,đường đi bộ,
歩み,BỘ,đi dạo,
歩合,BỘ HỢP,hoa hồng,
歩行者,BỘ HÀNH GIẢ,người đi bộ,
洗う,TẨY,rửa,
お手洗い,THỦ TẨY,phòng vệ sinh,
洗濯する,TẨY TRẠC,rửa,
洗剤,TẨY TỄ,bột giặt,
洗顔,TẨY NHAN,rửa mặt,
洗礼,TẨY LỄ,phép rửa,
急に,CẤP,đột ngột,
急ぐ,CẤP,vội vàng,
急行,CẤP HÀNH,phát biểu,
特急,ĐẶC CẤP,tốc hành,
至急,CHÍ CẤP,khẩn cấp,
緊急,KHẨN CẤP,khẩn cấp,
緊急者,KHẨN CẤP GIẢ,người cấp cứu,
急用,CẤP DỤNG,kinh doanh cấp bách,
閉まる,BẾ,gần,
閉める,BẾ,gần,
閉じる,BẾ,gần,
閉会する,BẾ HỘI,đóng cửa để,
閉店,BẾ ĐIẾM,đóng,
閉鎖,BẾ TỎA,đóng kín,
閉口する,BẾ KHẨU,nó được đóng,
引く,DẪN,kéo,
引き出し,DẪN XUẤT,ngăn kéo,
引き出す,DẪN XUẤT,rút ra,
引っ越す,DẪN VIỆT,chuyển động,
引き分け,DẪN ,rút ra,
割り引き,CÁT DẪN,giảm giá,
引用,DẪN DỤNG,trích dẫn,
引力,DẪN LỰC,sức hút,
知る,TRI,biết,
知らせる,TRI,báo,
知り合い,TRI HỢP,sự quen biết,
承知する,THỪA TRI,hãy nhận biết,
知人,TRI NHÂN,sự quen biết,
知識,TRI THỨC,kiến thức,
知性,TRI TÍNH,sự thông minh,
知事,TRI SỰ,thống đốc,
医者,Y GIẢ,bác sĩ,
医学,Y HỌC,y học,
歯医者,XỈ Y GIẢ,nha sĩ,
医院,Y VIỆN,dưỡng đường,
医療,Y LIỆU,chăm sóc y tế,
医師,Y SƯ,bác sĩ,
医薬品,Y DƯỢC PHẨM,dược phẩm,
終わる,CHUNG,đầu,
終わり,CHUNG,đầu,
終える,CHUNG,hoàn thành,
最終,TỐI CHUNG,cuối cùng,
終了,CHUNG LIỄU,đầu,
終電,CHUNG ĐIỆN,chuyến cuối,
終点,CHUNG ĐIỂM,điểm cuối,
始終,THỦY CHUNG,từ đầu đến cuối,
石,THẠCH,đá,
宝石,BẢO THẠCH,ngọc,
石鹸,THẠCH ,xà bông,
石油,THẠCH DU,dầu,
石炭,THẠCH THAN,than đá,
磁石,TỪ THẠCH,nam châm,
留学する,LƯU HỌC,du học,
留学生,"LƯU HỌC SANH,SINH",sinh viên nước ngoài,
留守番電話,LƯU THỦ PHIÊN ĐIỆN THOẠI,máy trả lời,
留める,LƯU,đóng lại,
書留,THƯ LƯU,đăng ký,
有名な,HỮU DANH,nổi danh,
有る,HỮU,có,
有料,HỮU LIỆU,thuế đường,
有利な,HỮU LỢI,thuận tiện,
有効な,HỮU HIỆU,có hiệu lực,
有能な,HỮU NĂNG,thẩm quyền,
有り難い,HỮU NAN,chân phước,
有無,HỮU ,sự hiện diện hay vắng mặt,
工業,CÔNG NGHIỆP,công nghiệp,
授業,THỤ NGHIỆP,học phí,
卒業,TỐT NGHIỆP,tốt nghiệp,
職業,CHỨC NGHIỆP,nghề,
企業,XÍ NGHIỆP,công ty,
営業宇宙,DOANH NGHIỆP VŨ TRỤ,không gian bán hàng,
自業自得,TỰ NGHIỆP TỰ ĐẮC,tự làm tự chịu,
農業,NÔNG NGHIỆP,nông nghiệp,
働く,ĐỘNG,công việc,
共働き,CỘNG ĐỘNG,hai thu nhập,
働き者,ĐỘNG GIẢ,chăm chỉ,
労働,LAO ĐỘNG,việc làm,
労働者,LAO ĐỘNG GIẢ,công nhân,
労働組合,LAO ĐỘNG TỔ HỢP,liên hiệp,
仕事,SĨ SỰ,công việc,
仕方,SĨ PHƯƠNG,đường,
仕上げる,SĨ THƯỢNG,hoàn thành,
仕返し,SĨ PHẢN,trả thù,
奉仕活動,PHỤNG SĨ HOẠT ĐỘNG,vượt hơn,
仕える,SĨ,phục vụ,
給仕,CẤP SĨ,phục vụ,
図書館,ĐỒ THƯ QUÁN,thư viện,
地図,ĐỊA ĐỒ,bản đồ,
図書館,ĐỒ THƯ QUÁN,thư viện,
図表,ĐỒ BIỂU,đồ thị,
合図,HỢP ĐỒ,cây cơ bida,
意図,Ý ĐỒ,ý định,
図る,ĐỒ,kế hoạch,
図書館,ĐỒ THƯ QUÁN,thư viện,
映画館,ÁNH HỌA QUÁN,rạp chiếu phim,
大使館,ĐẠI SỬ QUÁN,tòa đại sứ,
旅館,LỮ QUÁN,quán trọ,
会館,HỘI QUÁN,đại sảnh,
美術館,MĨ THUẬT QUÁN,viện bảo tàng,
博物館,BÁC VẬT QUÁN,viện bảo tàng,
水族館,THỦY TỘC QUÁN,bể nuôi cá,
借りる,TÁ,thuê,
借家,TÁ GIA,nhà cho thuê,
借金,TÁ KIM,nợ nần,
借地,TÁ ĐỊA,nhà cho mướn,
貸し借り,THẢI TÁ,cho vay và đi vay,
貸す,THẢI,cho vay,
貸し出し,THẢI XUẤT,cho vay,
貸し切り,THẢI THIẾT,hiến chương,
賃貸マンション,NHẪM THẢI,căn hộ cho thuê,
世界,THẾ GIỚI,thế giới,
世話,THẾ THOẠI,chăm sóc,
世紀,THẾ KỈ,thế kỷ,
世間,THẾ GIAN,thế giới,
世代,THẾ ĐẠI,thế hệ,
世の中,THẾ TRUNG,thế giới,
世論,THẾ LUẬN,ý kiến ​​công chúng,
お世辞,THẾ TỪ,nịnh hót,
世界,THẾ GIỚI,thế giới,
限界,HẠN GIỚI,giới hạn,
境界,CẢNH GIỚI,ranh giới,
政界,"CHÍNH,CHÁNH GIỚI",chính trị thế giới,
視界,THỊ GIỚI,thị giác,
業界,NGHIỆP GIỚI,công nghiệp,
市民,THỊ DÂN,công dân,
国民,QUỐC DÂN,quốc dân,
住民,TRỤ DÂN,cư dân,
民主主義,DÂN CHỦ CHỦ NGHĨA,chế độ dân chủ,
民族,DÂN TỘC,cuộc đua,
難民,NAN DÂN,người tị nạn,
民,DÂN,người,
民間,DÂN GIAN,riêng,
意味,Ý VỊ,ý nghĩa,
注意する,CHÚ Ý,chú ý,
意見,Ý KIẾN,ý kiến,
用意する,DỤNG Ý,chuẩn bị,
好意,HẢO Ý,ủng hộ,
意外な,Ý NGOẠI,làm ngạc nhiên,
意思,Ý TƯ,mục đích,
意地悪な,Ý ĐỊA ÁC,nghĩa là,
顔,NHAN,mặt,
笑顔,TIẾU NHAN,nụ cười,
洗顔,TẨY NHAN,rửa mặt,
顔つき,NHAN,nhìn,
似顔絵,TỰ NHAN HỘI,chân dung,
特別な,ĐẶC BIỆT,đặc biệt,
特に,ĐẶC,đặc biệt,
特急電車,ĐẶC CẤP ĐIỆN XA,tàu tốc hành,
独特な,ĐỘC ĐẶC,không bình thường,
特色,ĐẶC SẮC,đặc tính,
特徴,ĐẶC TRƯNG,tính năng,
特技,ĐẶC KĨ,kỹ năng đặc biệt,
竹,TRÚC,cây tre,
竹の子,TRÚC TỬ,măng tre,
竹林,TRÚC LÂM,rừng tre,
答える,ĐÁP,trả lời,
答え,ĐÁP,sự trả lời,
答案,ĐÁP ÁN,giấy kiểm tra,
解答,GIẢI ĐÁP,lời giải,
回答,HỒI ĐÁP,câu trả lời,
返答,PHẢN ĐÁP,câu trả lời,
同じ,ĐỒNG,giống nhau,
同時,ĐỒNG THỜI,cùng một lúc,
同僚,ĐỒNG LIÊU,bạn đồng nghiệp,
共同,CỘNG ĐỒNG,kết hợp,
同級生,"ĐỒNG CẤP SANH,SINH",bạn cùng trường,
同情する,ĐỒNG TÌNH,thông cảm,
同封する,ĐỒNG PHONG,kèm theo,
集める,TẬP,sưu tầm,
集まる,TẬP,tụ họp,
募集する,MỘ TẬP,tuyển mộ,
集会,TẬP HỘI,tập hợp,
集中する,TẬP TRUNG,tập trung,
集団,TẬP ĐOÀN,dân số,
集う,TẬP,họp lại,
～以上,DĨ THƯỢNG,hoặc nhiều hơn để,
～以下,DĨ HẠ,hoặc ít hơn để,
～以外,DĨ NGOẠI,trừ ~,
～以内,DĨ NỘI,trong thời hạn ~,
以前,DĨ TIỀN,trước,
以後,DĨ HẬU,sau đó,
～以来,DĨ LAI,kể từ ~,
場所,"TRÀNG,TRƯỜNG SỞ",vị trí,
場合,"TRÀNG,TRƯỜNG HỢP",trường hợp,
会場,"HỘI TRÀNG,TRƯỜNG",địa điểm,
工場,"CÔNG TRÀNG,TRƯỜNG",nhà máy,
売り場,"MẠI TRÀNG,TRƯỜNG",bộ,
駐車場,"TRÚ XA TRÀNG,TRƯỜNG",đậu xe,
広場,"QUẢNG TRÀNG,TRƯỜNG",quảng trường,
市場,"THỊ TRÀNG,TRƯỜNG",thị trường,
どんな所,SỞ,chổ nào,
台所,THAI SỞ,nhà bếp,
住所,TRỤ SỞ,địa chỉ,
近所,CẬN SỞ,vùng lân cận,
場所,"TRÀNG,TRƯỜNG SỞ",vị trí,
事務所,SỰ VỤ SỞ,văn phòng,
市役所,THỊ DỊCH SỞ,toà thị chính,
食堂,THỰC ĐƯỜNG,quán ăn tự phục vụ,
講堂,GIẢNG ĐƯỜNG,giảng đường,
堂々と,ĐƯỜNG,đế vương,
公会堂,CÔNG HỘI ĐƯỜNG,tòa thị chính,
国会議事堂,QUỐC HỘI NGHỊ SỰ ĐƯỜNG,nhà quốc hội,
長野県,TRƯỜNG DÃ HUYỆN,quận nagano,
県庁,HUYỆN SẢNH,chính quyền tỉnh,
県知事,HUYỆN TRI SỰ,chủ tịch quận,
県立,HUYỆN LẬP,quận,
都道府県,ĐÔ ĐẠO PHỦ HUYỆN,tình thành,
池,TRÌ,ao,
電池,ĐIỆN TRÌ,ắc quy,
溜め池, TRÌ,ao,
貯水池,TRỮ THỦY TRÌ,bể chứa nước,
用水地,DỤNG THỦY ĐỊA,vùng nước,
品物,PHẨM VẬT,hàng hóa,
日曜便,NHẬT DIỆU TIỆN,các chuyến bay chủ nhật,
製品,CHẾ PHẨM,sản phẩm,
必需品,TẤT NHU PHẨM,cần thiết,
作品,TÁC PHẨM,công việc,
上品な,THƯỢNG PHẨM,tao nhã,
下品な,HẠ PHẨM,không đứng đắn,
食料品,THỰC LIỆU PHẨM,tạp hóa,
通る,THÔNG,đi qua,
通う,THÔNG,đi học,
通り,THÔNG,đường phố,
交通,GIAO THÔNG,giao thông,
通訳,THÔNG DỊCH,sự giải thích,
普通の,PHỔ THÔNG,thường dùng,
通学,THÔNG HỌC,giao hoán,
通勤,THÔNG CẦN,đi lại,
丸い,HOÀN,tròn,
丸い,HOÀN,tròn,
丸める,HOÀN,tròn,
弾丸,"ĐÀN,ĐẠN HOÀN",đạn,
冷たい,LÃNH,lạnh,
冷える,LÃNH,mát mẻ,
冷やす,LÃNH,mát mẻ,
冷ます,LÃNH,mát mẻ,
冷蔵庫,LÃNH TÀNG KHỐ,tủ lạnh,
冷房,LÃNH PHÒNG,làm lạnh,
冷凍する,LÃNH ĐÔNG,đông lại,
冷静な,LÃNH TĨNH,yên lặng,
甘い,CAM,ngọt,
甘やかす,CAM,âu yếm,
甘える,CAM,nịnh nọt trên,
甘味料,CAM VỊ LIỆU,viên ngọt,
果物,QUẢ VẬT,trái cây,
効果,HIỆU QUẢ,hiệu ứng,
果実,QUẢ THỰC,trái cây,
果たして,QUẢ,thực sự,
成果,THÀNH QUẢ,kết quả,
卵,NOÃN,trứng,
卵黄,NOÃN HOÀNG,lòng đỏ trứng,
卵白,NOÃN BẠCH,lòng trắng trứng,
卵焼き,NOÃN THIÊU,trứng chiên,
塩,DIÊM,muối,
塩荒い,DIÊM HOANG,muối thô,
食塩,THỰC DIÊM,muối,
塩分,DIÊM ,muối,
塩水,DIÊM THỦY,nước muối,
辛い,TÂN,đau,
塩辛い,DIÊM TÂN,mặn,
香辛料,HƯƠNG TÂN LIỆU,đồ gia vị,
辛抱,TÂN BÃO,kiên nhẫn,
辛し,TÂN,tsurashi,
辛い,TÂN,đau,
焼く,THIÊU,nướng,
焼ける,THIÊU,đốt cháy,
夕焼け,TỊCH THIÊU,lúc mặt trời lặn,
日焼け,NHẬT THIÊU,cháy nắng,
焼き鳥,THIÊU ĐIỂU,cá nướng,
焼肉,THIÊU NHỤC,thịt nướng,
燃焼,NHIÊN THIÊU,sự cháy,
固い,CỐ,chắc chắn,
固まる,CỐ,chắc chắn,
固体,CỐ THỂ,chắc,
固定,CỐ ĐỊNH,đông lại,
頑固な,NGOAN CỐ,bướng bỉnh,
固有の,CỐ HỮU,đặc biệt,
一個,NHẤT CÁ,cái,
個人,CÁ NHÂN,cá nhân,
個人主義,CÁ NHÂN CHỦ NGHĨA,chủ nghĩa cá nhân,
個展,CÁ TRIỂN,chương solo,
個性,CÁ TÍNH,cá nhân,
個数,"CÁ SỔ,SỐ",số,
個室,CÁ THẤT,phòng riêng,
泣く,KHẤP,khóc,
泣き声,KHẤP THANH,khóc,
泣き虫,KHẤP TRÙNG,tiếng khóc trẻ con,
嬉し泣き,HI KHẤP,tôi đã khóc trong niềm vui,
号泣する,HÀO KHẤP,khóc để,
怒る,NỘ,nổi giận,
怒り,NỘ,sự phẫn nộ,
怒鳴り,NỘ MINH,la hét,
悲しい,BI,buồn,
悲しむ,BI,thương tiếc,
悲劇,BI KỊCH,thảm kịch,
悲惨な,BI THẢM,khốn khổ,
悲観する,BI QUAN,hãy nhìn vào mặt tối của sự vật,
痛い,THỐNG,đau,
痛み,THỐNG,đau,
頭痛,ĐẦU THỐNG,đau đầu,
苦痛,KHỔ THỐNG,đau,
痛み止め,THỐNG CHỈ,thuốc giảm đau,
腹痛,PHÚC THỐNG,đau bụng,
腰痛,YÊU THỐNG,đau lưng,
心配する,TÂM PHỐI,lo,
配る,PHỐI,trao,
配達,PHỐI ĐẠT,giao hàng,
支配,CHI PHỐI,quyền thống trị,
配偶者,PHỐI NGẪU GIẢ,vợ,
支配人,CHI PHỐI NHÂN,người quản lý,
宅配便,TRẠCH PHỐI TIỆN,giao hàng tận nhà,
困る,KHỐN,khó,
困難な,KHỐN NAN,khó khăn,
貧困,BẦN KHỐN,nghèo nàn,
困惑,KHỐN HOẶC,puzzle,
感じる,CẢM,cảm nhận,
感じ,CẢM,cảm nhận,
感動する,CẢM ĐỘNG,hãy ấn tượng,
感謝,CẢM TẠ,cảm ơn,
感想,CẢM TƯỞNG,những ấn tượng,
感激する,CẢM KÍCH,truyền cảm,
感心する,CẢM TÂM,chiêm ngưỡng,
覚える,GIÁC,nhớ lại,
感覚,CẢM GIÁC,feeling,
目が覚める,MỤC GIÁC,thức dậy,
自覚する,TỰ GIÁC,thực hiện,
味覚,VỊ GIÁC,mùi vị,
違反,VI PHẢN,sự vi phạm,
視覚,THỊ GIÁC,thị lực,
目覚まし時計,MỤC GIÁC THỜI KẾ,đồng hồ báo thức,
忘れる,VONG,quên,
忘れ物,VONG VẬT,điều trái phía sau,
忘れっぽい,VONG,hay quên,
忘年会,VONG NIÊN HỘI,tổng kết cuối năm,
予定,DỮ ĐỊNH,kế hoạch,
定休日,ĐỊNH HƯU NHẬT,kỳ nghỉ thường xuyên,
決定,QUYẾT ĐỊNH,phán quyết,
肯定する,KHẲNG ĐỊNH,xác nhận,
否定する,PHỦ ĐỊNH,từ chối,
勘定,KHÁM ĐỊNH,trương mục,
定期券,ĐỊNH KÌ KHOÁN,vé xem thể thao trong mùa,
定める,ĐỊNH,thiết,
受ける,THỤ,nhận,
受付/受け付け,THỤ PHÓ THỤ PHÓ,tiếp nhận/chấp nhận,
受験,THỤ NGHIỆM,kỳ thi tuyển sinh,
受け取る,THỤ THỦ,nhận,
受かる,THỤ,đèo,
受け身/受身,THỤ  THỤ ,bị động/thụ động,
受信,THỤ TÍN,tiếp tân,
練習,LUYỆN TẬP,tập luyện,
訓練,HUẤN LUYỆN,đào tạo,
練る,LUYỆN,nhào,
試練,THÍ LUYỆN,thử thách,
洗練,TẨY LUYỆN,tinh tế,
未練,VỊ LUYỆN,hối tiếc,
生徒,"SANH,SINH ĐỒ",sinh viên,
徒歩で,ĐỒ BỘ,bằng chân,
イスラム教徒,GIÁO ĐỒ,hồi giáo,
キリスト教徒,GIÁO ĐỒ,đạo Cơ đốc,
踊る,DŨNG,nhảy múa,
踊り,DŨNG,nhảy,
日本舞踊,NHẬT BỔN VŨ DŨNG,múa cổ điển nhật bản,
盆踊り,BỒN DŨNG,múa Bon,
違う,VI,khác nhau,
間違える,GIAN VI,sai lầm,
間違い,GIAN VI,sai lầm,
違い,VI,khác nhau,
勘違い,KHÁM VI,sự hiểu lầm,
相違,TƯƠNG VI,khác nhau,
皆さん,GIAI,những người,
皆,GIAI,những người,
皆勤,GIAI CẦN,perfect tham dự,
皆目,GIAI MỤC,toàn bộ,
皆無,GIAI ,hư không,
彼,BỈ,anh ấy,
彼ら,BỈ,họ,
彼女,BỈ NỮ,cô ấy,
彼氏,BỈ THỊ,bạn trai,
彼岸,BỈ NGẠN,tuần phân điểm,
全部,TOÀN BỘ,tất cả,
部屋,BỘ ỐC,phòng,
部長,BỘ TRƯỜNG,người quản lý,
一部,NHẤT BỘ,một số,
テニス部,BỘ,câu lạc bộ tennis,
工学部,CÔNG HỌC BỘ,bộ phận kỹ thuật,
大部分,ĐẠI BỘ ,đa số,
荷物,HÀ VẬT,hành lý,
荷造り,HÀ TẠO,đóng gói,
重荷,TRỌNG HÀ,gánh nặng,
入荷,NHẬP HÀ,khi hàng,
出荷,XUẤT HÀ,lô hàng,
自由,TỰ DO,sự tự do,
理由,LÍ DO,lý do,
パリ経由,KINH DO,via paris,
不自由な,BẤT TỰ DO,bất tiện,
由来,DO LAI,gốc,
由緒ある,DO TỰ,mùa hái nho,
届ける,GIỚI,giao hàng,
届く,GIỚI,đến,
婚姻届,HÔN NHÂN GIỚI,đăng ký kết hôn,
欠席届,KHIẾM TỊCH GIỚI,thông báo nghỉ,
届け出る,GIỚI XUẤT,báo cáo,
払う,PHẤT,trả,
支払い,CHI PHẤT,thanh toán,
払い戻す,PHẤT LỆ,refund,
払い込む,PHẤT VÀO,thanh toán bằng,
払拭する,PHẤT ,gạt sang một bên,
選択する,TUYỂN TRẠCH,lựa chọn,
洗濯物,TẨY TRẠC VẬT,giặt ủi,
洗濯機,TẨY TRẠC CƠ,may giặt,
お宅,TRẠCH,ngôi nhà của bạn,
帰宅,QUY TRẠCH,trở về nhà,
自宅,TỰ TRẠCH,nhà,
住宅,TRỤ TRẠCH,nhà ở,
宅配便,TRẠCH PHỐI TIỆN,giao hàng tận nhà,
社宅,XÃ TRẠCH,nhà ở thuộc công ty,
平日,BÌNH NHẬT,ngày trong tuần,
平らな,BÌNH,bằng phẳng,
平和,BÌNH HÒA,hòa bình,
平成,BÌNH THÀNH,heisei,
平均,BÌNH QUÂN,trung bình,
公平,CÔNG BÌNH,công bằng,
平等,BÌNH ĐẲNG,bình đẳng,
平たい,BÌNH,bằng phẳng,
戦う,CHIẾN,cuộc chiến đấu,
戦争,CHIẾN TRANH,chiến tranh,
戦い,CHIẾN,cuộc chiến đấu,
作戦,TÁC CHIẾN,chiến lược,
冷戦,LÃNH CHIẾN,chiến tranh lạnh,
反戦,PHẢN CHIẾN,chống chiến tranh,
挑戦,KHIÊU CHIẾN,thách,
戦,CHIẾN,chiến tranh,
政治,"CHÍNH,CHÁNH TRỊ",chính trị,
政治家,"CHÍNH,CHÁNH TRỊ GIA",chính trị gia,
政党,"CHÍNH,CHÁNH ĐẢNG",buổi tiệc,
政府,"CHÍNH,CHÁNH PHỦ",chính phủ,
行政,"HÀNH CHÍNH,CHÁNH",chính phủ,
財政,"TÀI CHÍNH,CHÁNH",tài chánh,
政権,"CHÍNH,CHÁNH QUYỀN",chế độ,
政策,"CHÍNH,CHÁNH SÁCH",chính sách,
経験,KINH NGHIỆM,kinh nghiệm,
経済,KINH TẾ,kinh tế,
パリ経由,KINH DO,theo đường paris,
経営,KINH DOANH,quản lý,
神経,THẦN KINH,thần kinh,
経歴,KINH LỊCH,nghề nghiệp,
お経,KINH,kinh phật,
経る,KINH,đi xuyên qua,
法律,PHÁP LUẬT,pháp luật,
文法,VĂN PHÁP,văn phạm,
方法,PHƯƠNG PHÁP,làm sao,
憲法,HIẾN PHÁP,hiến pháp,
違法,VI PHÁP,bất hợp pháp,
用法,DỤNG PHÁP,cách sử dụng,
法案,PHÁP ÁN,hóa đơn,
法則,PHÁP TẮC,pháp luật,
国際,QUỐC TẾ,quốc tế,
国際化,QUỐC TẾ HÓA,quốc tế hóa,
～際,TẾ,khi ~,
交際,GIAO TẾ,tình bằnh hửu,
実際,THỰC TẾ,thực tế,
際立つ,TẾ LẬP,nổi bật,
間際,GIAN TẾ,ngay trước,
主義,CHỦ NGHĨA,nguyên tắc,
民主主義,DÂN CHỦ CHỦ NGHĨA,chế độ dân chủ,
社会主義,XÃ HỘI CHỦ NGHĨA,chủ nghĩa xã hội,
講義,GIẢNG NGHĨA,bài học,
義務,NGHĨA VỤ,nghĩa vụ,
義理,NGHĨA LÍ,nghĩa vụ,
正義,CHÁNH NGHĨA,sự công bằng,
定義,ĐỊNH NGHĨA,định nghĩa,
国会議員,QUỐC HỘI NGHỊ VIÊN,đại biểu quốc hội,
不思議な,BẤT TƯ NGHỊ,lạ lùng,
議会,NGHỊ HỘI,nghị viện,
議論する,NGHỊ LUẬN,bàn luận,
議題,NGHỊ ĐỀ,chương trình nghị sự,
遊ぶ,DU,chơi,
遊び,DU,chơi,
遊園地,DU VIÊN ĐỊA,công viên giải trí,
周遊,CHU DU,chuyến du lịch,
疲れる,BÌ,mệt mỏi,
疲れる,BÌ,mệt mỏi,
疲労,BÌ LAO,mệt mỏi,
涼しい,LƯƠNG,mát mẻ,
涼む,LƯƠNG,tắm mát,
清涼飲料水,THANH LƯƠNG ẨM LIỆU THỦY,nước ngọt,
夕涼み,TỊCH LƯƠNG,mát mẻ của buổi tối,
公園,CÔNG VIÊN,công viên,
公平,CÔNG BÌNH,công bằng,
公務員,CÔNG VỤ VIÊN,dịch vụ dân sự,
公衆,CÔNG CHÚNG,công cộng,
公立,CÔNG LẬP,công cộng,
公の,CÔNG,công cộng,
公開,CÔNG KHAI,xuất bản,
込む,VÀO,viết,
人込み,NHÂN VÀO,đám đông người,
申し込む,THÂN VÀO,ứng dụng,
飛び込む,PHI VÀO,lặn,
税込み,THUẾ VÀO,bao gồm thuế,
割り込む,CÁT VÀO,ngắt lời,
思い込む,TƯ VÀO,được thuyết phục rằng,
窓,SONG,cửa sổ,
窓口,SONG KHẨU,tiếp xúc,
同窓会,ĐỒNG SONG HỘI,hội cựu sinh viên,
窓側の席,SONG TRẮC TỊCH,ghế ngồi phía cửa,
